"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2020","780.73","760.86","788.06","760.20","104.56K","2.71%"
"May 03, 2020","760.15","714.90","773.22","706.47","420.65K","6.27%"
"Apr 26, 2020","715.33","724.76","735.28","711.84","216.34K","-1.34%"
"Apr 19, 2020","725.05","736.10","742.27","692.03","442.05K","-1.35%"
"Apr 12, 2020","734.98","695.84","736.17","695.84","442.48K","5.64%"
"Apr 05, 2020","695.74","649.15","704.18","649.15","579.04K","7.18%"
"Mar 29, 2020","649.15","641.92","649.15","598.60","315.90K","1.08%"
"Mar 22, 2020","642.23","671.05","671.05","619.07","429.97K","-4.67%"
"Mar 15, 2020","673.70","716.65","716.65","668.90","386.27K","-5.99%"
"Mar 08, 2020","716.65","835.65","835.65","674.36","523.16K","-14.27%"
"Mar 01, 2020","835.97","831.25","846.58","827.12","307.40K","0.48%"
"Feb 23, 2020","831.97","867.56","867.56","823.09","344.41K","-4.25%"
"Feb 16, 2020","868.89","865.83","877.52","858.61","297.02K","0.35%"
"Feb 09, 2020","865.86","863.28","870.10","848.21","330.78K","0.27%"
"Feb 02, 2020","863.49","848.42","865.91","803.73","398.94K","1.75%"
"Jan 26, 2020","848.63","908.20","908.20","848.63","163.40K","-6.65%"
"Jan 19, 2020","909.09","894.60","909.41","891.75","148.77K","1.59%"
"Jan 12, 2020","894.84","885.52","897.63","880.58","231.26K","1.05%"
"Jan 05, 2020","885.52","882.51","888.09","861.51","248.81K","0.25%"
"Dec 29, 2019","883.28","876.61","890.38","876.13","171.57K","0.79%"
"Dec 22, 2019","876.38","868.37","876.38","864.86","251.00K","0.92%"
"Dec 15, 2019","868.37","880.55","880.55","858.76","346.39K","-1.38%"
"Dec 08, 2019","880.55","880.39","888.53","869.15","326.63K","0.01%"
"Dec 01, 2019","880.43","887.47","889.47","865.31","350.89K","-0.79%"
"Nov 24, 2019","887.47","892.31","901.10","882.68","320.49K","-0.54%"
"Nov 17, 2019","892.31","927.49","929.18","885.83","371.24K","-3.78%"
"Nov 10, 2019","927.36","944.72","946.55","922.59","367.85K","-1.84%"
"Nov 03, 2019","944.70","933.96","948.37","932.31","384.28K","1.19%"
"Oct 27, 2019","933.55","927.96","934.21","922.06","315.67K","0.70%"
"Oct 20, 2019","927.05","918.02","927.05","912.70","293.35K","0.86%"
"Oct 13, 2019","919.13","916.81","927.91","916.81","314.38K","0.27%"
"Oct 06, 2019","916.68","915.62","917.90","906.88","305.34K","0.17%"
"Sep 29, 2019","915.16","924.83","930.88","911.60","317.92K","-1.05%"
"Sep 22, 2019","924.83","914.73","925.58","906.60","291.23K","1.06%"
"Sep 15, 2019","915.16","905.00","920.77","902.82","296.82K","1.12%"
"Sep 08, 2019","905.05","885.95","905.31","881.04","234.10K","2.16%"
"Sep 01, 2019","885.95","892.83","894.11","883.91","169.62K","-0.74%"
"Aug 25, 2019","892.51","899.10","899.29","882.14","249.68K","-0.89%"
"Aug 18, 2019","900.53","892.32","904.41","889.34","233.24K","0.91%"
"Aug 11, 2019","892.44","878.56","900.31","867.95","268.76K","1.57%"
"Aug 04, 2019","878.62","883.34","884.09","858.02","251.93K","-0.75%"
"Jul 28, 2019","885.29","887.96","892.38","874.39","229.75K","-0.29%"
"Jul 21, 2019","887.84","880.49","892.81","878.22","243.35K","0.80%"
"Jul 14, 2019","880.79","875.28","882.85","870.81","259.47K","0.66%"
"Jul 07, 2019","874.99","878.96","883.15","866.32","213.36K","-0.60%"
"Jun 30, 2019","880.23","864.24","882.19","864.24","221.14K","1.85%"
"Jun 23, 2019","864.24","866.63","873.33","847.77","209.48K","-0.26%"
"Jun 16, 2019","866.53","861.37","870.35","845.40","248.59K","0.57%"
"Jun 09, 2019","861.65","869.68","877.45","857.72","173.09K","-0.91%"
"Jun 02, 2019","869.56","875.64","875.64","851.47","182.80K","-0.77%"
"May 26, 2019","876.29","884.29","891.61","875.77","158.58K","-0.93%"
"May 19, 2019","884.48","890.16","907.64","884.48","204.33K","-0.68%"
"May 12, 2019","890.53","876.16","896.34","871.96","202.44K","1.61%"
"May 05, 2019","876.45","893.83","893.83","867.18","190.37K","-2.12%"
"Apr 28, 2019","895.42","890.60","895.70","889.20","84.30K","0.55%"
"Apr 21, 2019","890.55","880.90","890.69","873.55","170.94K","1.14%"
"Apr 14, 2019","880.52","890.81","891.78","876.20","136.68K","-1.41%"
"Apr 07, 2019","893.10","904.92","908.94","887.75","162.98K","-1.28%"
"Mar 31, 2019","904.69","900.17","912.94","897.47","172.13K","0.51%"
"Mar 24, 2019","900.13","912.10","912.10","889.17","200.32K","-1.33%"
"Mar 17, 2019","912.27","927.16","935.67","906.64","278.27K","-1.60%"
"Mar 10, 2019","927.06","915.00","939.17","911.88","288.63K","1.35%"
"Mar 03, 2019","914.74","915.39","931.23","913.39","237.37K","-0.06%"
"Feb 24, 2019","915.32","929.57","944.01","904.96","293.07K","-1.53%"
"Feb 17, 2019","929.50","899.75","934.65","899.74","320.60K","3.54%"
"Feb 10, 2019","897.74","862.20","904.11","862.20","268.98K","4.41%"
"Jan 27, 2019","859.81","867.60","874.09","859.38","176.87K","-0.91%"
"Jan 20, 2019","867.70","855.00","869.53","855.00","187.84K","1.51%"
"Jan 13, 2019","854.79","860.40","868.41","853.34","159.08K","-0.64%"
"Jan 06, 2019","860.30","840.17","862.88","840.17","163.29K","2.40%"
"Dec 30, 2018","840.17","854.99","864.64","821.83","121.59K","-1.73%"
"Dec 23, 2018","854.99","873.14","879.74","850.33","189.29K","-2.07%"
"Dec 16, 2018","873.09","914.97","914.97","866.09","235.46K","-4.97%"
"Dec 09, 2018","918.79","928.96","935.33","915.68","224.90K","-1.16%"
"Dec 02, 2018","929.59","896.50","933.29","896.50","283.86K","3.89%"
"Nov 25, 2018","894.79","889.88","910.48","886.76","182.19K","0.47%"
"Nov 18, 2018","890.62","869.24","900.77","869.24","198.79K","2.46%"
"Nov 11, 2018","869.24","883.49","889.06","859.86","202.58K","-1.85%"
"Nov 04, 2018","885.65","903.24","909.69","885.65","186.17K","-1.97%"
"Oct 28, 2018","903.43","881.06","905.65","868.29","235.08K","2.54%"
"Oct 21, 2018","881.06","931.66","938.02","860.13","264.70K","-5.43%"
"Oct 14, 2018","931.69","943.51","949.41","920.28","228.20K","-1.25%"
"Oct 07, 2018","943.49","979.27","979.27","908.74","414.18K","-3.80%"
"Sep 30, 2018","980.75","994.76","1,001.14","980.75","353.16K","-1.41%"
"Sep 23, 2018","994.73","974.47","996.60","974.47","309.48K","2.08%"
"Sep 16, 2018","974.43","960.33","978.77","945.93","343.02K","1.47%"
"Sep 09, 2018","960.33","945.04","967.78","940.78","259.94K","1.56%"
"Sep 02, 2018","945.59","969.23","971.30","931.19","197.25K","-2.44%"
"Aug 26, 2018","969.23","960.43","979.11","960.43","282.89K","0.92%"
"Aug 19, 2018","960.42","949.23","963.91","942.33","253.55K","1.18%"
"Aug 12, 2018","949.23","946.75","969.80","932.27","311.02K","0.10%"
"Aug 05, 2018","948.32","941.13","954.38","933.77","228.91K","0.77%"
"Jul 29, 2018","941.12","927.36","949.93","924.38","251.73K","1.50%"
"Jul 22, 2018","927.19","927.01","945.13","907.60","250.82K","0.07%"
"Jul 15, 2018","926.50","901.68","946.39","892.39","239.68K","3.01%"
"Jul 08, 2018","899.45","905.97","916.84","870.53","198.32K","-0.68%"
"Jul 01, 2018","905.62","945.94","945.94","870.34","270.01K","-4.43%"
"Jun 24, 2018","947.55","973.45","989.18","939.70","173.53K","-2.62%"
"Jun 17, 2018","973.05","1,004.97","1,006.58","919.09","248.48K","-3.18%"
"Jun 10, 2018","1,005.04","1,025.71","1,034.85","989.53","263.08K","-2.03%"
"Jun 03, 2018","1,025.87","970.81","1,034.72","970.81","292.62K","5.85%"
"May 27, 2018","969.15","932.00","970.81","881.91","327.15K","3.51%"
"May 20, 2018","936.32","1,023.28","1,027.85","936.32","251.19K","-8.40%"
"May 13, 2018","1,022.21","1,031.18","1,067.61","989.20","219.61K","-0.83%"
"May 06, 2018","1,030.79","1,010.99","1,059.68","1,003.47","263.07K","1.97%"
"Apr 29, 2018","1,010.89","1,029.76","1,033.20","989.00","178.80K","-1.66%"
"Apr 22, 2018","1,027.97","1,091.18","1,098.58","1,007.39","273.56K","-5.64%"
"Apr 15, 2018","1,089.45","1,133.00","1,136.98","1,047.71","274.09K","-3.95%"
"Apr 08, 2018","1,134.21","1,174.02","1,185.06","1,121.47","373.88K","-3.42%"
"Apr 01, 2018","1,174.37","1,153.11","1,180.60","1,153.11","321.66K","1.85%"
"Mar 25, 2018","1,153.08","1,129.05","1,162.35","1,123.90","261.13K","2.14%"
"Mar 18, 2018","1,128.93","1,117.13","1,159.37","1,113.70","387.06K","1.44%"
"Mar 11, 2018","1,112.93","1,106.54","1,121.74","1,098.58","416.15K","0.58%"
"Mar 04, 2018","1,106.54","1,113.71","1,117.90","1,075.78","364.63K","-0.03%"
"Feb 25, 2018","1,106.92","1,101.66","1,116.79","1,092.18","443.90K","1.56%"
"Feb 18, 2018","1,089.96","1,064.55","1,089.96","1,063.46","244.56K","3.40%"
"Feb 11, 2018","1,054.09","1,001.70","1,055.86","1,001.70","109.54K","5.75%"
"Feb 04, 2018","996.77","1,081.70","1,081.70","966.78","412.20K","-8.59%"
"Jan 28, 2018","1,090.40","1,108.98","1,118.08","1,075.65","468.71K","-1.27%"
"Jan 21, 2018","1,104.42","1,059.20","1,112.59","1,059.19","360.81K","4.84%"
"Jan 14, 2018","1,053.47","1,050.35","1,063.46","1,013.11","550.92K","0.34%"
"Jan 07, 2018","1,049.86","1,006.25","1,058.20","1,000.29","590.12K","4.18%"
"Dec 31, 2017","1,007.73","977.20","1,014.42","975.49","339.17K","3.30%"
"Dec 24, 2017","975.52","947.06","980.47","944.77","263.87K","3.13%"
"Dec 17, 2017","945.88","937.81","959.33","936.53","260.76K","2.07%"
"Dec 10, 2017","926.70","928.39","933.09","883.52","258.63K","-0.38%"
"Dec 03, 2017","930.25","954.31","970.35","919.99","327.26K","-2.33%"
"Nov 26, 2017","952.46","923.80","955.17","923.00","303.53K","2.83%"
"Nov 19, 2017","926.21","886.49","933.45","883.70","319.13K","4.37%"
"Nov 12, 2017","887.41","861.00","897.39","861.00","276.62K","3.36%"
"Nov 05, 2017","858.55","842.91","861.36","839.88","267.11K","2.20%"
"Oct 29, 2017","840.04","835.33","843.34","826.59","226.74K","0.61%"
"Oct 22, 2017","834.91","811.49","834.91","804.43","185.58K","2.57%"
"Oct 15, 2017","813.99","815.27","821.54","811.24","238.87K","-0.18%"
"Oct 08, 2017","815.47","802.89","815.47","798.63","205.44K","1.88%"
"Oct 01, 2017","800.42","793.64","801.36","785.10","178.98K","0.97%"
"Sep 24, 2017","792.72","789.81","797.26","785.24","196.40K","0.38%"
"Sep 17, 2017","789.70","792.16","797.54","785.99","196.85K","0.03%"
"Sep 10, 2017","789.49","785.06","793.16","775.81","204.81K","0.61%"
"Sep 03, 2017","784.74","775.28","786.85","771.68","151.29K","1.38%"
"Aug 27, 2017","774.06","751.59","774.76","749.20","209.38K","3.05%"
"Aug 20, 2017","751.14","744.23","751.14","736.71","152.07K","0.92%"
"Aug 13, 2017","744.30","744.72","752.25","738.33","190.29K","-0.09%"
"Aug 06, 2017","744.99","762.13","766.12","737.72","233.74K","-2.16%"
"Jul 30, 2017","761.44","748.88","761.44","747.61","281.72K","1.54%"
"Jul 23, 2017","749.86","727.57","749.86","723.45","196.48K","2.94%"
"Jul 16, 2017","728.47","758.53","758.74","728.47","261.11K","-4.14%"
"Jul 09, 2017","759.97","761.69","764.53","743.13","266.32K","-0.22%"
"Jul 02, 2017","761.61","765.52","771.98","760.90","313.57K","-0.50%"
"Jun 25, 2017","765.41","759.90","766.29","751.20","276.15K","0.95%"
"Jun 18, 2017","758.24","754.03","761.62","749.47","301.39K","1.09%"
"Jun 11, 2017","750.07","740.65","751.50","734.53","322.09K","1.33%"
"Jun 04, 2017","740.20","719.05","743.90","719.05","299.98K","3.04%"
"May 28, 2017","718.33","723.27","725.20","709.73","279.00K","-0.08%"
"May 21, 2017","718.87","707.27","722.06","706.84","337.40K","2.40%"
"May 14, 2017","702.03","691.33","702.03","691.06","285.35K","1.62%"
"May 07, 2017","690.84","683.15","695.66","680.34","288.73K","0.97%"
"Apr 30, 2017","684.17","681.70","688.75","680.95","163.29K","0.54%"
"Apr 23, 2017","680.49","671.80","683.14","665.66","209.17K","1.17%"
"Apr 16, 2017","672.60","680.27","683.48","665.35","204.45K","-0.86%"
"Apr 09, 2017","678.45","698.49","699.86","674.94","305.14K","-2.75%"
"Apr 02, 2017","697.62","693.42","702.05","685.63","301.44K","0.63%"
"Mar 26, 2017","693.22","692.82","696.97","685.69","367.51K","0.21%"
"Mar 19, 2017","691.76","672.52","696.22","672.52","381.64K","3.50%"
"Mar 12, 2017","668.35","663.86","671.07","659.95","264.57K","0.73%"
"Mar 05, 2017","663.49","657.26","667.49","656.36","237.49K","1.02%"
"Feb 26, 2017","656.77","659.63","667.70","649.45","224.39K","-0.76%"
"Feb 19, 2017","661.81","664.90","673.77","661.37","315.68K","-0.94%"
"Feb 12, 2017","668.10","660.03","676.65","659.32","286.06K","1.41%"
"Feb 05, 2017","658.78","652.50","660.08","649.35","220.70K","1.17%"
"Jan 29, 2017","651.18","645.72","657.63","645.72","76.72K","0.99%"
"Jan 22, 2017","644.79","634.81","644.79","634.81","94.99K","1.66%"
"Jan 15, 2017","634.28","639.59","640.52","630.48","176.25K","-0.90%"
"Jan 08, 2017","640.07","636.82","645.14","636.82","223.06K","0.59%"
"Jan 01, 2017","636.34","627.65","640.74","627.58","192.86K","1.29%"
"Dec 25, 2016","628.21","622.91","628.21","621.71","184.52K","1.20%"
"Dec 18, 2016","620.75","622.19","626.78","614.13","174.88K","-0.05%"
"Dec 11, 2016","621.04","616.50","621.04","606.07","284.97K","0.23%"
"Dec 04, 2016","619.64","628.60","629.85","614.10","214.72K","-1.59%"
"Nov 27, 2016","629.64","640.58","640.75","622.12","257.92K","-2.14%"
"Nov 20, 2016","643.38","635.82","651.55","634.43","251.66K","1.42%"
"Nov 13, 2016","634.35","640.06","642.24","632.45","260.87K","-1.19%"
"Nov 06, 2016","642.00","633.03","643.43","620.35","245.20K","1.50%"
"Oct 30, 2016","632.54","649.28","649.28","627.90","289.85K","-2.58%"
"Oct 23, 2016","649.27","654.17","654.17","639.07","211.30K","-0.90%"
"Oct 16, 2016","655.17","657.08","661.20","647.77","232.17K","-0.37%"
"Oct 09, 2016","657.59","657.58","662.05","641.45","262.03K","0.01%"
"Oct 02, 2016","657.54","668.47","670.52","654.05","280.99K","-1.63%"
"Sep 25, 2016","668.44","662.79","674.11","661.71","240.71K","0.62%"
"Sep 18, 2016","664.31","646.47","665.27","643.60","246.82K","3.90%"
"Sep 11, 2016","639.37","657.61","657.61","639.37","272.21K","-2.93%"
"Sep 04, 2016","658.66","660.24","663.68","647.47","225.67K","-0.07%"
"Aug 28, 2016","659.09","660.07","666.70","654.66","168.41K","0.36%"
"Aug 21, 2016","656.71","654.43","659.34","642.50","224.02K","0.35%"
"Aug 14, 2016","654.42","640.59","659.43","639.08","265.63K","2.08%"
"Aug 07, 2016","641.11","614.38","652.87","609.21","245.28K","4.24%"
"Jul 31, 2016","615.06","642.04","642.04","608.84","230.45K","-3.77%"
"Jul 24, 2016","639.17","636.37","645.39","627.97","215.58K","0.76%"
"Jul 17, 2016","634.34","653.82","665.11","626.40","269.19K","-2.95%"
"Jul 10, 2016","653.63","643.77","664.43","633.50","280.20K","1.56%"
"Jul 03, 2016","643.56","629.19","648.73","629.19","239.72K","2.75%"
"Jun 26, 2016","626.34","609.64","630.61","601.71","190.85K","2.23%"
"Jun 19, 2016","612.69","615.98","631.02","591.44","255.96K","-0.50%"
"Jun 12, 2016","615.75","626.68","627.46","615.39","233.20K","-2.15%"
"Jun 05, 2016","629.27","620.61","634.07","615.91","215.70K","1.32%"
"May 29, 2016","621.05","612.40","622.88","611.83","191.76K","1.64%"
"May 22, 2016","611.00","616.81","618.61","605.16","158.30K","-0.88%"
"May 15, 2016","616.40","612.03","628.30","608.96","204.08K","1.05%"
"May 08, 2016","609.97","610.78","615.57","597.91","186.24K","0.40%"
"May 01, 2016","607.55","600.63","610.19","597.40","134.73K","1.05%"
"Apr 24, 2016","601.25","599.85","604.12","593.35","238.13K","0.99%"
"Apr 17, 2016","595.38","584.14","595.48","572.14","157.32K","1.87%"
"Apr 10, 2016","584.47","580.79","591.76","580.65","209.79K","0.95%"
"Apr 03, 2016","578.97","568.01","581.39","563.05","171.64K","1.88%"
"Mar 27, 2016","568.27","578.45","583.29","566.81","198.58K","-1.72%"
"Mar 20, 2016","578.24","582.85","587.78","571.71","225.73K","-0.64%"
"Mar 13, 2016","581.95","586.63","590.98","581.40","275.06K","-0.33%"
"Mar 06, 2016","583.89","582.60","588.46","580.19","225.35K","0.51%"
"Feb 28, 2016","580.94","576.98","583.73","570.66","222.60K","0.56%"
"Feb 21, 2016","577.71","567.87","583.87","567.87","288.16K","1.80%"
"Feb 14, 2016","567.51","558.64","569.38","554.24","232.71K","0.63%"
"Jan 31, 2016","563.97","562.40","565.97","549.01","139.70K","0.42%"
"Jan 24, 2016","561.61","546.87","562.79","546.87","252.22K","4.12%"
"Jan 17, 2016","539.37","543.44","551.88","531.53","308.16K","-2.95%"
"Jan 10, 2016","555.76","574.95","584.03","555.76","261.19K","-3.51%"
"Jan 03, 2016","575.96","593.31","594.68","571.96","210.32K","-3.29%"
"Dec 27, 2015","595.57","583.14","595.57","579.18","131.94K","2.81%"
"Dec 20, 2015","579.32","581.36","581.92","572.22","135.87K","0.08%"
"Dec 13, 2015","578.85","581.57","590.01","577.68","237.21K","0.15%"
"Dec 06, 2015","578.01","581.62","587.62","568.51","168.01K","-0.85%"
"Nov 29, 2015","582.96","589.57","589.76","578.88","189.69K","-1.29%"
"Nov 22, 2015","590.59","611.14","615.96","590.59","262.36K","-3.37%"
"Nov 15, 2015","611.16","620.95","622.51","608.12","247.87K","-1.80%"
"Nov 08, 2015","622.34","623.50","623.50","603.06","234.30K","-0.05%"
"Nov 01, 2015","622.67","619.89","630.60","611.30","174.67K","0.56%"
"Oct 25, 2015","619.21","619.09","622.09","608.89","174.84K","0.51%"
"Oct 18, 2015","616.07","610.96","617.16","603.84","196.33K","1.04%"
"Oct 11, 2015","609.73","605.87","616.35","605.29","228.79K","0.68%"
"Oct 04, 2015","605.60","582.94","611.15","582.16","294.35K","4.28%"
"Sep 27, 2015","580.74","588.69","589.64","575.06","117.20K","-1.25%"
"Sep 20, 2015","588.11","583.37","593.93","582.81","142.91K","0.92%"
"Sep 13, 2015","582.73","583.07","586.19","570.59","155.14K","-0.09%"
"Sep 06, 2015","583.27","577.17","591.10","572.85","150.24K","0.78%"
"Aug 30, 2015","578.78","596.58","596.58","572.64","129.37K","-3.18%"
"Aug 23, 2015","597.81","580.86","597.81","544.10","344.12K","1.70%"
"Aug 16, 2015","587.83","618.99","621.01","572.16","275.24K","-5.03%"
"Aug 09, 2015","618.94","637.58","649.99","615.55","217.71K","-3.05%"
"Aug 02, 2015","638.40","642.46","642.61","631.27","196.54K","-1.38%"
"Jul 26, 2015","647.36","658.63","668.80","647.36","261.66K","-1.61%"
"Jul 19, 2015","657.97","646.69","662.05","636.91","209.00K","1.07%"
"Jul 12, 2015","651.03","652.37","661.97","644.13","249.44K","0.35%"
"Jul 05, 2015","648.73","643.19","656.46","635.73","349.19K","1.38%"
"Jun 28, 2015","639.87","608.75","639.87","608.75","278.41K","5.08%"
"Jun 21, 2015","608.92","608.00","617.82","606.18","321.20K","0.94%"
"Jun 14, 2015","603.26","605.47","607.60","595.35","373.73K","-0.17%"
"Jun 07, 2015","604.29","592.22","604.63","590.69","346.61K","2.04%"
"May 31, 2015","592.22","590.44","597.20","585.42","268.59K","0.49%"
"May 24, 2015","589.32","585.08","599.22","582.45","270.07K","0.47%"
"May 17, 2015","586.58","559.99","586.58","552.46","230.28K","4.40%"
"May 10, 2015","561.87","582.99","585.88","561.87","169.18K","-3.61%"
"May 03, 2015","582.91","589.54","593.95","571.07","153.22K","-1.73%"
"Apr 26, 2015","593.15","599.99","600.36","593.15","16.77K","-0.49%"
"Apr 19, 2015","596.10","599.66","599.89","589.61","125.82K","-0.50%"
"Apr 12, 2015","599.12","586.09","602.83","585.86","161.64K","2.71%"
"Apr 05, 2015","583.34","578.14","586.90","570.09","143.62K","0.98%"
"Mar 29, 2015","577.66","583.22","584.99","567.48","189.98K","-0.92%"
"Mar 22, 2015","583.02","604.09","607.40","580.34","183.97K","-3.44%"
"Mar 15, 2015","603.76","613.99","616.42","599.91","283.55K","-2.14%"
"Mar 08, 2015","616.94","623.73","628.07","616.52","203.74K","-0.93%"
"Mar 01, 2015","622.75","619.20","630.72","615.39","199.97K","0.71%"
"Feb 22, 2015","618.39","619.48","627.94","618.09","141.96K","0.19%"
"Feb 15, 2015","617.20","617.20","617.20","617.20","-","0.00%"
"Feb 08, 2015","617.20","595.69","618.46","594.72","154.75K","3.61%"
"Feb 01, 2015","595.69","606.02","609.79","581.24","165.14K","-1.79%"
"Jan 25, 2015","606.54","618.14","619.21","604.98","199.89K","-1.40%"
"Jan 18, 2015","615.16","616.91","618.90","604.35","171.53K","0.07%"
"Jan 11, 2015","614.72","618.04","624.18","611.90","262.92K","-0.60%"
"Jan 04, 2015","618.41","600.48","619.52","593.46","238.04K","2.78%"
"Dec 28, 2014","601.66","583.36","601.93","578.33","146.10K","3.30%"
"Dec 21, 2014","582.45","577.08","594.41","576.98","167.01K","2.07%"
"Dec 14, 2014","570.61","607.56","610.59","563.92","329.11K","-6.35%"
"Dec 07, 2014","609.33","622.90","623.85","597.97","235.44K","-2.46%"
"Nov 30, 2014","624.67","612.86","628.13","612.68","223.47K","2.21%"
